[18:10:36] [INIT] KubeJS 2001.6.5-build.16; MC 2001 forge
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/light_slabs/light_steel_white_vslab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/light_slabs/light_steel_orange_slab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/light_slabs/light_steel_yellow_slab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/light_slabs/light_steel_lime_vslab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/light_stairs/light_steel_cyan_stairs[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_stairs/steel_brown_stairs[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/light_slabs/light_steel_green_slab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_slabs/steel_red_vslab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_slabs/steel_light_blue_vslab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/light_slabs/light_steel_camo_snow_slab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_stairs/steel_camo_jungle_stairs[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_slabs/steel_grau_vslab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/light_slabs/light_steel_4bo_slab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_slabs/steel_32_slab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_slabs/steel_brown_slab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_slabs/steel_29_slab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_slabs/steel_camo_mesa_vslab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/light_stairs/light_steel_ship_bottom_stairs[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_stairs/steel_magenta_stairs[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_stairs/steel_stairs[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/light_slabs/light_steel_camo_jungle_vslab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/light_slabs/light_steel_camo_taiga_vslab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_slabs/steel_magenta_slab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_stairs/steel_ship_bottom_stairs[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_slabs/steel_ship_bottom_slab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/light_slabs/light_steel_33_slab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/light_stairs/light_steel_light_blue_stairs[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/light_slabs/light_steel_camo_forest_slab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_slabs/steel_camo_forest_slab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_slabs/steel_31_vslab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/light_stairs/light_steel_33_stairs[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/light_slabs/light_steel_grau_vslab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/light_slabs/light_steel_grau_slab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/light_slabs/light_steel_parade_vslab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/light_stairs/light_steel_camo_mesa_stairs[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/light_slabs/light_steel_ship_bottom_slab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_slabs/steel_lime_slab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/light_slabs/light_steel_orange_vslab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/waterline/steel_block_wl[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/light_stairs/light_steel_white_stairs[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_stairs/steel_gray_stairs[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/light_slabs/light_steel_31_vslab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_stairs/steel_camo_forest_stairs[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_slabs/steel_yellow_slab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/letters_brass/symbols/brassexclamation[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_slabs/steel_light_gray_vslab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/waterline/light_steel_block_wl_gray[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/light_stairs/light_steel_light_gray_stairs[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_stairs/steel_camo_swamp_stairs[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_stairs/steel_4bo_stairs[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/waterline/hard_steel_block_wl_gray[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_stairs/steel_parade_stairs[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/light_stairs/light_steel_gelb_stairs[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_slabs/steel_camo_plains_slab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_slabs/steel_rotbraun_slab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_slabs/steel_32_vslab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/light_slabs/light_steel_31_slab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 'tfmg:crafting/glass_cable_connector[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/light_stairs/light_steel_green_stairs[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_slabs/steel_purple_slab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/light_slabs/light_steel_camo_desert_slab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/light_slabs/light_steel_33_vslab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_stairs/steel_orange_stairs[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_slabs/steel_grau_slab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_stairs/steel_light_blue_stairs[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_slabs/steel_light_blue_slab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_slabs/steel_camo_desert_vslab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_stairs/steel_pink_stairs[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_stairs/steel_31_stairs[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/light_slabs/light_steel_camo_forest_vslab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_slabs/steel_camo_jungle_vslab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_slabs/steel_33_vslab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_slabs/steel_29_vslab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/waterline/hard_steel_block_wl[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/letters_brass/cyrilic/brassae[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/letters_brass/cyrilic/brassmyag[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/light_stairs/light_steel_camo_desert_stairs[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/light_slabs/light_steel_29_vslab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_slabs/steel_cyan_slab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/light_slabs/light_steel_brown_vslab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/light_slabs/light_steel_gray_slab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_slabs/steel_4bo_vslab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/light_stairs/light_steel_4bo_stairs[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_slabs/steel_camo_snow_vslab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/light_slabs/light_steel_gelb_vslab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/light_stairs/light_steel_grau_stairs[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/waterline/steel_block_wl_32[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/waterline/steel_block_wl_33[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/waterline/steel_block_wl_31[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_slabs/steel_gelb_slab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_slabs/steel_pink_slab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 'tfmg:crafting/battery[minecraft:crafting_shaped]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/waterline/steel_block_wl_29[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/light_slabs/light_steel_light_gray_slab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/waterline/light_steel_block_wl[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_slabs/steel_vslab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/light_slabs/light_steel_32_vslab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_slabs/steel_pink_vslab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_slabs/steel_orange_slab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_slabs/steel_parade_vslab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_slabs/steel_white_vslab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_slabs/steel_blue_slab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/light_slabs/light_steel_magenta_slab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/light_slabs/light_steel_camo_swamp_vslab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_slabs/steel_camo_mesa_slab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/light_slabs/light_steel_rotbraun_slab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/light_stairs/light_steel_purple_stairs[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/light_slabs/light_steel_camo_taiga_slab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_slabs/steel_red_slab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/light_slabs/light_steel_cyan_vslab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_stairs/steel_gelb_stairs[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_slabs/steel_ship_bottom_vslab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_slabs/steel_camo_taiga_vslab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
[18:10:41] [WARN] Failed to parse recipe 's_a_b:stonecutting/blocks/normal_slabs/steel_camo_desert_slab[minecraft:stonecutting]'! Falling back to vanilla: ItemStack 'result' can't be empty!
